SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message
COSMOS 1286,12631,9/29/1982,2,325,300,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COSMOS 1682,16054,12/18/1986,23,475,385,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COSMOS 1769,16895,9/21/1987,4,445,310,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COSMOS 2238,22585,12/1/1994,1,305,210,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COSMOS 2313,23596,6/26/1997,13,325,210,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COSMOS 1869,18214,11/27/1997,2,635,605,83,UNKNOWN,,FALSE,
METEOR 2-8,13113,5/29/1999,53,960,935,82.5,UNKNOWN,,FALSE,
COSMOS 2347,25088,11/22/1999,9,410,230,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COSMOS 2383,27053,2/28/2004,14,400,220,65,UNKNOWN,COSMOS 699 CLASS,FALSE,
COBE R/B,20323,12/3/2006,26,790,685,97.1,UNKNOWN,DELTA SECOND STAGE,FALSE,
IGS 3A R/B,29394,12/28/2006,10,490,430,97.2,UNKNOWN,H-IIA SECOND STAGE,FALSE,
USA 197 R/B,32288,11/11/2007,32,1575,220,29,UNKNOWN,DELTA IV SECOND STAGE,FALSE,
COSMOS 192,3047,8/30/2009,4,715,710,74,UNKNOWN,,FALSE,
YAOGAN 1,29092,2/4/2010,8,630,625,97.9,UNKNOWN,,FALSE,
FREGAT DEB (TANK),43089,9/4/2010,5,4070,277,50.4,UNKNOWN,SL-23 Fregat SB SBB propellant tank,FALSE,
IGS 4A/4B R/B DEBRIS,30590,12/23/2010,4,440,430,97.3,UNKNOWN,H-IIA DEBRIS,FALSE,
DMSP 5D-2 F9 (USA 29),18822,12/17/2012,10,810,800,98.8,UNKNOWN,,FALSE,
