CDM_ID,CREATED,EMERGENCY_REPORTABLE,TCA,MIN_RNG,PC,SAT_1_ID,SAT_1_NAME,SAT1_OBJECT_TYPE,SAT1_RCS,SAT_1_EXCL_VOL,SAT_2_ID,SAT_2_NAME,SAT2_OBJECT_TYPE,SAT2_RCS,SAT_2_EXCL_VOL
"64426752","2020-12-19 16:40:13.000000","Y","2020-12-21T01:16:33.164000","27","0.0001933276","34997","COSMOS 2251 DEB","DEBRIS","SMALL","1.00","4912","THORAD AGENA D DEB","DEBRIS","SMALL","1.00"
"64426987","2020-12-19 16:40:13.000000","Y","2020-12-21T01:20:13.915000","56","0.0003892314","36200","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","30758","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64427505","2020-12-19 17:06:00.000000","Y","2020-12-22T15:11:51.803000","2882","","37778","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00","37934","BREEZE-M R/B","ROCKET BODY","LARGE","0.00"
"64427546","2020-12-19 17:06:00.000000","Y","2020-12-22T15:11:51.803000","2882","","37934","BREEZE-M R/B","ROCKET BODY","LARGE","0.00","37778","ARIANE 5 DEB (SYLDA)","DEBRIS","LARGE","0.00"
"64427644","2020-12-19 16:40:13.000000","Y","2020-12-21T20:28:34.997000","64","0.0001154164","38233","IRIDIUM 33 DEB","DEBRIS","SMALL","1.00","19039","SL-8 R/B","ROCKET BODY","LARGE","3.00"
"64427646","2020-12-19 16:40:13.000000","Y","2020-12-21T08:05:41.529000","38","0.0003794776","38299","CZ-2D DEB","DEBRIS","SMALL","1.00","30765","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64427650","2020-12-19 16:40:13.000000","Y","2020-12-19T16:35:52.789000","71","0.000668521","38500","FENGYUN 1C DEB","DEBRIS","SMALL","1.00","25612","NIMBUS 2 DEB","DEBRIS","SMALL","1.00"
"64427651","2020-12-19 16:40:13.000000","Y","2020-12-21T15:46:43.406000","46","0.0007275066","38533","METEOR 1-27 DEB","DEBRIS","SMALL","1.00","31620","FENGYUN 1C DEB","DEBRIS","SMALL","1.00"
"64429091","2020-12-19 16:40:15.000000","Y","2020-12-21T09:21:11.885000","93","0.0001176332","41668","NOAA 16 DEB","DEBRIS","SMALL","1.00","29199","METEOR 2-6 DEB","DEBRIS","SMALL","1.00"
"64492327","2020-12-20 00:03:38.000000","Y","2020-12-22T19:37:21.714000","163","0.005863848","2847","TIMATION 1","PAYLOAD","MEDIUM","5.00","82873","UNKNOWN","UNKNOWN","","3.00"
