,SATELLITE NAME,US SATELLITE NUMBER,BREAKUP DATE,DEBRIS CATALOGED,ASSESSED CAUSE,ADDITIONAL INFORMATION,Show,Message,message,video_time_in_seconds
30,COSMOS 1260,12364,1982-05-08,68,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[May 1982]  COSMOS 1260: UNKNOWN CAUSE (+68),91
31,COSMOS 1220,12054,1982-06-20,83,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[June 1982]  COSMOS 1220: UNKNOWN CAUSE (+83),91
32,COSMOS 1306,12828,1982-07-12,8,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[July 1982]  COSMOS 1306: UNKNOWN CAUSE (+8),92
33,COSMOS 1355,13150,1983-08-08,29,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[August 1983]  COSMOS 1355: UNKNOWN CAUSE (+29),96
34,COSMOS 1405,13508,1983-12-20,32,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[December 1983]  COSMOS 1405: UNKNOWN CAUSE (+32),98
35,WESTAR 6 R/B,14694,1984-02-03,14,PROPULSION,PAM-D UPPER STAGE,True,PROPULSION SYSTEM FAILURE,[February 1984]  WESTAR 6 R/B: PROPULSION SYSTEM FAILURE (+14),98
36,COSMOS 1461,14064,1985-03-11,187,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[March 1985]  COSMOS 1461: UNKNOWN CAUSE (+187),102
37,P-78/SOLWIND,11278,1985-09-13,285,"COLLISION, DELIBERATE",HYPERVELOCITY IMPACT,True,DESTROYED BY ANTI-SATELLITE WEAPON,[September 1985]  P-78/SOLWIND: DESTROYED BY ANTI-SATELLITE WEAPON (+285),105
38,COSMOS 1375,13259,1985-10-21,61,BATTERY,,True,BATTERY FAILURE,[October 1985]  COSMOS 1375: BATTERY FAILURE (+61),105
39,COSMOS 1691 (1695),16139,1985-11-22,21,BATTERY,,True,BATTERY FAILURE,[November 1985]  COSMOS 1691 (1695): BATTERY FAILURE (+21),105
40,COSMOS 1588,15167,1986-02-23,45,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[February 1986]  COSMOS 1588: UNKNOWN CAUSE (+45),106
41,SPOT 1 R/B,16615,1986-11-13,498,PROPULSION,ARIANE 1 FINAL STAGE,True,PROPULSION SYSTEM FAILURE,[November 1986]  SPOT 1 R/B: PROPULSION SYSTEM FAILURE (+498),109
42,COSMOS 1813,17297,1987-01-29,195,DELIBERATE,SELF-DESTRUCT,True,DELIBERATE SELF-DESTRUCT,[January 1987]  COSMOS 1813: DELIBERATE SELF-DESTRUCT (+195),110
43,COSMOS 1646,15653,1987-11-20,24,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[November 1987]  COSMOS 1646: UNKNOWN CAUSE (+24),113
44,COSMOS 1823,17535,1987-12-17,150,BATTERY,,True,BATTERY FAILURE,[December 1987]  COSMOS 1823: BATTERY FAILURE (+150),114
45,COSMOS 1045 R/B,11087,1988-05-09,42,PROPULSION,TSYKLON THIRD STAGE,True,PROPULSION SYSTEM FAILURE,[May 1988]  COSMOS 1045 R/B: PROPULSION SYSTEM FAILURE (+42),115
46,FENGYUN 1-2 R/B,20791,1990-10-04,103,PROPULSION,CZ-4 FINAL STAGE,True,PROPULSION SYSTEM FAILURE,[October 1990]  FENGYUN 1-2 R/B: PROPULSION SYSTEM FAILURE (+103),125
47,COSMOS 2125-32 R/B,21108,1991-03-05,112,PROPULSION,COSMOS SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[March 1991]  COSMOS 2125-32 R/B: PROPULSION SYSTEM FAILURE (+112),127
48,NIMBUS 6 R/B,7946,1991-05-01,307,PROPULSION,DELTA SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[May 1991]  NIMBUS 6 R/B: PROPULSION SYSTEM FAILURE (+307),127
49,COSMOS 1603 ULLAGE MOTOR,15338,1992-09-05,23,PROPULSION,PROTON-K BLOCK DM SOZ,True,PROPULSION SYSTEM FAILURE,[September 1992]  COSMOS 1603 ULLAGE MOTOR: PROPULSION SYSTEM FAILURE (+23),133
50,COSMOS 2227 R/B,22285,1992-12-26,279,PROPULSION,ZENIT-2 SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[December 1992]  COSMOS 2227 R/B: PROPULSION SYSTEM FAILURE (+279),134
51,COSMOS 2237 R/B,22566,1993-03-28,104,PROPULSION,ZENIT-2 SECOND STAGE,True,PROPULSION SYSTEM FAILURE,[March 1993]  COSMOS 2237 R/B: PROPULSION SYSTEM FAILURE (+104),135
52,COSMOS 1484,14207,1993-10-18,49,UNKNOWN,,True,UNKNOWN CAUSE,[October 1993]  COSMOS 1484: UNKNOWN CAUSE (+49),137
53,RS-15 R/B,23440,1994-12-26,26,UNKNOWN,ROKOT THIRD STAGE,True,UNKNOWN CAUSE,[December 1994]  RS-15 R/B: UNKNOWN CAUSE (+26),142
54,STEP II R/B,23106,1996-06-03,754,PROPULSION,PEGASUS HAPS,True,PROPULSION SYSTEM FAILURE,[June 1996]  STEP II R/B: PROPULSION SYSTEM FAILURE (+754),148
55,METEOR 2-16 R/B,18313,1998-02-15,108,PROPULSION,TSYKLON THIRD STAGE,True,PROPULSION SYSTEM FAILURE,[February 1998]  METEOR 2-16 R/B: PROPULSION SYSTEM FAILURE (+108),155
56,COSMOS 2053 R/B,20390,1999-04-18,26,PROPULSION,TSYKLON THIRD STAGE,True,PROPULSION SYSTEM FAILURE,[April 1999]  COSMOS 2053 R/B: PROPULSION SYSTEM FAILURE (+26),160
57,COSMOS 2157-62 R/B,21734,1999-10-09,40,PROPULSION,TSYKLON THIRD STAGE,True,PROPULSION SYSTEM FAILURE,[October 1999]  COSMOS 2157-62 R/B: PROPULSION SYSTEM FAILURE (+40),162
58,CBERS 1/SACI 1 R/B,25942,2000-03-11,344,PROPULSION,CZ-4 FINAL STAGE,True,PROPULSION SYSTEM FAILURE,[March 2000]  CBERS 1/SACI 1 R/B: PROPULSION SYSTEM FAILURE (+344),163
59,COSMOS 2367,26040,2001-11-21,17,UNKNOWN,COSMOS 699 CLASS,True,UNKNOWN CAUSE,[November 2001]  COSMOS 2367: UNKNOWN CAUSE (+17),170
60,TES R/B,26960,2001-12-19,372,PROPULSION,PSLV FINAL STAGE,True,PROPULSION SYSTEM FAILURE,[December 2001]  TES R/B: PROPULSION SYSTEM FAILURE (+372),171
