SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP
NIGCOMSAT 1R R/B,2011-077B,38015,12/21/2011,12/21/2011,39,39,41715,230,24.3,UNKNOWN,CZ-3B FINAL STAGE,2011,2011
BEIDOU G5 R/B,2012-008B,38092,2/24/2012,2/26/2012,38,37,35950,150,20.7,UNKNOWN,CZ-3C FINAL STAGE,2012,2012
NIMIQ 6 R/B,2012-026B,38343,5/17/2012,12/23/2015,11,11,34592,10408,12,UNKNOWN,Briz-M CORE,2012,2015
TELKOM 3/ EXPRESS MD2 BRIZ-M R/B,2012-044C,38746,8/6/2012,10/16/2012,113,20,5010,265,49.9,PROPULSION,PROTON-K BRIZ-M STAGE,2012,2012
CASSIOPE R/B,2013-055B,39266,9/29/2013,9/29/2013,16,1,1490,320,81,PROPULSION,FALCON 9 SECOND STAGE,2013,2013
SENTINEL 1A,2014-016A,39634,4/3/2014,8/23/2016,8,3,698,696,98.2,"COLLISION, ACCIDENTAL",Solar array impact by small MMOD,2014,2016
PROGRESS-M 27M R/B,2015-024B,40620,4/28/2015,4/28/2015,21,0,181,169,51.7,UNKNOWN,Soyuz 2.1a (3); separation with PROGRESS M-27M,2015,2015
COSMOS 2513 R/B,2015-075B,41122,12/13/2015,1/16/2016,7,7,35777,33426,0.2,UNKNOWN,Briz-M CORE,2015,2016
ASTRO H (HITOMI),2016-012A,41337,2/17/2016,3/26/2016,13,10,578,563,31,PROPULSION,likely structural failure mechanism,2016,2016
FREGAT DEB (TANK),2017-086C,43089,9/4/2010,9/4/2010,5,2,4070,277,50.4,UNKNOWN,SL-23 Fregat SB SBB propellant tank,2010,2010
CHINASAT 6A R/B,2010-042B,37151,9/4/2010,9/4/2010,30,29,41894,194,25.2,UNKNOWN,Unnamed: 1,2010,2010
