SATELLITE NAME,INTERNATIONAL DESIGNATOR,US SATELLITE NUMBER,LAUNCH DATE,BREAKUP DATE,DEBRIS CATALOGED,DEBRIS ON-ORBIT,APOGEE (KM),PERIGEE (KM),INCLINATION (DEG),ASSESSED CAUSE,ADDITIONAL INFORMATION,year_LAUNCH,year_BREAKUP,,,,,,,,
DMSP 5B F5 R/B,1974-015B,7219,16-Mar-74,17-Jan-05,7,7,885,775,99.1,"COLLISION, ACCIDENTAL",HIT BY DEBRIS (26207),1974,2005,,,,,,,,
NOAA 4 R/B,1974-089D,7532,15-Nov-74,20-Aug-75,185,160,1460,1445,101.7,PROPULSION,DELTA SECOND STAGE,1974,1975,,,,,,,,
COSMOS 699,1974-103A,7587,24-Dec-74,17-Apr-75,50,0,445,425,65,UNKNOWN,COSMOS 699 CLASS,1974,1975,,,,,,,,
LANDSAT 2 R/B,1975-004B,7616,22-Jan-75,9-Feb-76,207,32,915,740,97.8,PROPULSION,DELTA SECOND STAGE,1975,1976,,,,,,,,
NIMBUS 6 R/B,1975-052B,7946,12-Jun-75,1-May-91,307,231,1105,1095,99.6,PROPULSION,DELTA SECOND STAGE,1975,1991,,,,,,,,
COSMOS 758,1975-080A,8191,5-Sep-75,6-Sep-75,76,0,325,175,67.1,DELIBERATE,SELF-DESTRUCT,1975,1975,,,,,,,,
COSMOS 777,1975-102A,8416,29-Oct-75,25-Jan-76,62,0,440,430,65,UNKNOWN,COSMOS 699 CLASS,1975,1976,,,,,,,,
COSMOS 838,1976-063A,8932,2-Jul-76,17-May-77,40,0,445,415,65.1,UNKNOWN,COSMOS 699 CLASS,1976,1977,,,,,,,,
COSMOS 839,1976-067A,9011,8-Jul-76,29-Sep-77,70,68,2100,980,65.9,BATTERY,,1976,1977,,,,,,,,
COSMOS 844,1976-072A,9046,22-Jul-76,25-Jul-76,248,0,355,170,67.1,DELIBERATE,SELF-DESTRUCT,1976,1976,,,,,,,,
NOAA 5 R/B,1976-077B,9063,29-Jul-76,24-Dec-77,184,174,1520,1505,102,PROPULSION,DELTA SECOND STAGE,1976,1977,,,,,,,,
COSMOS 862,1976-105A,9495,22-Oct-76,15-Mar-77,13,5,39645,765,63.2,DELIBERATE,SELF-DESTRUCT,1976,1977,,,,,,,,
COSMOS 880,1976-120A,9601,9-Dec-76,27-Nov-78,49,0,620,550,65.8,BATTERY,,1976,1978,,,,,,,,
COSMOS 884,1976-123A,9614,17-Dec-76,29-Dec-76,2,0,320,170,65,DELIBERATE,SELF-DESTRUCT,1976,1976,,,,,,,,
COSMOS 886,1976-126A,9634,27-Dec-76,27-Dec-76,76,58,2295,595,65.8,DELIBERATE,SELF-DESTRUCT,1976,1976,,,,,,,,
COSMOS 903,1977-027A,9911,11-Apr-77,8-Jun-78,6,3,39035,1325,63.2,DELIBERATE,SELF-DESTRUCT,1977,1978,,,,,,,,
COSMOS 917,1977-047A,10059,16-Jun-77,30-Mar-79,14,12,38725,1645,62.9,DELIBERATE,SELF-DESTRUCT,1977,1979,,,,,,,,
HIMAWARI 1 R/B,1977-065B,10144,14-Jul-77,14-Jul-77,177,59,2025,535,29,PROPULSION,DELTA SECOND STAGE,1977,1977,,,,,,,,
COSMOS 931,1977-068A,10150,20-Jul-77,24-Oct-77,6,5,39665,680,62.9,DELIBERATE,SELF-DESTRUCT,1977,1977,,,,,,,,
